trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,True,"{'a': 0, 'e': 0}",20,0,-25.708826671252627,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
69,True,"{'a': 0, 'e': 0}",20,6,22.037143262994114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0, 'e': 0}",20,0,26.124794365526395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,True,"{'a': 0, 'e': 0}",25,6,11.37259082108989,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,True,"{'a': 0, 'e': 0}",25,11,24.30307645435675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0, 'e': 0}",20,0,30.30784975559379,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,True,"{'a': 0, 'e': 0}",20,0,23.798961365253753,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,True,"{'a': 0, 'e': 0}",20,13,13.218200861215305,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0, 'e': 0}",20,0,23.883546383437,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,True,"{'a': 0, 'e': 0}",20,8,21.825583091152883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0, 'e': 0}",20,0,27.142608905087553,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,True,"{'a': 0, 'e': 0}",20,0,27.199763427853796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,True,"{'a': 0, 'e': 0}",20,14,11.560056183721215,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0, 'e': 0}",20,6,25.729464455508072,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0, 'e': 0}",25,0,30.257227045222603,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,True,"{'a': 0, 'e': 0}",20,10,15.375823593821924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0, 'e': 0}",20,8,14.110523799797344,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0, 'e': 0}",20,6,-24.413885247761772,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,True,"{'a': 0, 'e': 0}",20,0,24.45268930620037,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,True,"{'a': 0, 'e': 0}",25,4,32.0555948768735,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,True,"{'a': 0, 'e': 0}",20,6,23.712093119963892,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,True,"{'a': 0, 'e': 0}",30,0,32.8539981266416,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
90,True,"{'a': 0, 'e': 0}",20,0,23.938752525317298,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,True,"{'a': 0, 'e': 0}",30,19,18.190625351440957,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,True,"{'a': 0, 'e': 0}",25,11,9.874569451002657,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
93,True,"{'a': 0, 'e': 0}",20,12,13.640841121396125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,True,"{'a': 0, 'e': 0}",35,23,22.225648865277694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,True,"{'a': 0, 'e': 0}",20,12,15.773436200517319,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,True,"{'a': 0, 'e': 0}",25,12,18.30522430939221,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,True,"{'a': 0, 'e': 0}",30,19,20.87561741193568,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,True,"{'a': 0, 'e': 0}",25,2,36.01282030474233,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,True,"{'a': 0, 'e': 0}",20,0,30.34308769266175,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
100,True,"{'a': 0, 'e': 0}",20,11,15.279450406464344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
